uid,Name,中文名 ,分类学地位 ,Class,活病毒培养、感染性材料核酸提取,动物感染 ,未灭活样本的检测、诊断 ,已确认灭活材料的实验操作 ,重组病毒,Note
153,Newcastle disease virus ,新城疫病毒,副粘病毒科/副粘病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
154,O' Nyong-Nyong virus ,阿尼昂-尼昂病毒 ,披膜病毒科甲病毒属(A 群虫媒病毒) ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
155,Oncornavirus B ,致癌 RNA 病毒 B ,逆转录病毒科/致癌 RNA 病毒亚科,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
156,"Oncornavirus C, except HTLV I and II ",致癌 RNA 病毒 C，除HTLV I and II 外 ,逆转录病毒科/致癌 RNA 病毒亚科,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
157,Orbiviruses ,环状病毒 ,呼肠孤病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
158,Other bunyaviridae known to be pathogenic ,其他已知致病的布尼雅病毒科的病毒 ,布尼雅病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
159,Other flaviviruses known to be pathogenic ,其他的致病黄病毒属的病毒 ,黄病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
160,Papillomavirus(human),乳头瘤病毒(人) ,乳多空病毒科 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, ,目前不能培养 
161,Parainfluenza virus type 1~4 ,副流感病毒,副黏病毒科/副黏病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
162,Paravaccinia virus ,副牛痘病毒,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
163,Parvovirus (human) ,细小病毒属(人) ,细小病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
164,Parvovirus (human) ,细小病毒（人） ,细小病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,B19 
165,"Polyomavirus, BK and JC viruses ",多瘤病毒， BK 和 JC 病毒 ,乳多空病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
166,Reovirus ,呼肠孤病毒,呼肠孤病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
