X,I,T,V
0.195300000000001,6.34226800904339,399999992.620456,0.0217756475752707
0.196000000000001,6.37040184597408,399999992.584601,0.0218443625827012
0.196700000000001,6.39861475793932,399999992.548633,0.0219134079281184
0.197400000000001,6.42690719221089,399999992.512551,0.0219827844143909
0.198100000000001,6.45527959684278,399999992.476355,0.0220524928499041
0.198800000000001,6.48373242067934,399999992.440044,0.0221225340485662
0.199500000000001,6.5122661133634,399999992.403618,0.0221929088298136
0.200200000000001,6.54088112534434,399999992.367075,0.0222636180186181
0.200900000000001,6.56957790788627,399999992.330416,0.0223346624454919
0.201600000000001,6.59835691307607,399999992.29364,0.022406042946495
0.202300000000001,6.62721859383157,399999992.256746,0.0224777603632408
0.203000000000001,6.65616340390963,399999992.219733,0.0225498155429029
0.203700000000001,6.68519179791424,399999992.182603,0.0226222093382221
0.204400000000001,6.7143042313047,399999992.145352,0.0226949426075126
0.205100000000001,6.74350116040365,399999992.107982,0.022768016214669
0.205800000000001,6.77278304240529,399999992.070491,0.0228414310291735
0.206500000000001,6.80215033538342,399999992.03288,0.0229151879261029
0.207200000000001,6.8316034982996,399999991.995147,0.0229892877861354
0.207900000000001,6.86114299101129,399999991.957291,0.0230637314955583
0.208600000000001,6.89076927427993,399999991.919313,0.0231385199462753
0.209300000000001,6.92048280977912,399999991.881212,0.023213654035814
0.210000000000001,6.95028406010274,399999991.842987,0.0232891346673332
0.210700000000001,6.98017348877307,399999991.804637,0.0233649627496311
0.211400000000001,7.01015156024894,399999991.766162,0.0234411391971526
0.212100000000001,7.04021873993388,399999991.727562,0.0235176649299978
0.212800000000001,7.07037549418423,399999991.688836,0.0235945408739295
0.213500000000001,7.10062229031735,399999991.649983,0.0236717679603817
0.214200000000001,7.13095959661972,399999991.611003,0.0237493471264674
0.214900000000001,7.16138788235512,399999991.571894,0.0238272793149877
0.215600000000001,7.19190761777278,399999991.532658,0.0239055654744393
0.216300000000001,7.22251927411554,399999991.493292,0.0239842065590239
0.217000000000001,7.25322332362804,399999991.453797,0.0240632035286564
0.217700000000001,7.28402023956488,399999991.414171,0.0241425573489737
0.218400000000001,7.31491049619879,399999991.374415,0.0242222689913439
0.219100000000001,7.34589456882882,399999991.334527,0.0243023394328748
0.219800000000001,7.37697293378853,399999991.294508,0.0243827696564233
0.220500000000001,7.40814606845417,399999991.254355,0.0244635606506047
0.221200000000001,7.43941445125291,399999991.21407,0.0245447134098016
0.221900000000001,7.47077856167099,399999991.173651,0.0246262289341738
0.222600000000001,7.50223888026198,399999991.133097,0.0247081082296674
0.223300000000001,7.53379588865496,399999991.092409,0.0247903523080246
0.224000000000001,7.56545006956277,399999991.051585,0.0248729621867935
0.224700000000001,7.5972019067902,399999991.010625,0.0249559388893377
0.225400000000001,7.62905188524226,399999990.969528,0.0250392834448466
0.226100000000001,7.6610004909324,399999990.928294,0.0251229968883451
0.226800000000001,7.69304821099076,399999990.886922,0.0252070802607038
0.227500000000001,7.7251955336724,399999990.845411,0.0252915346086496
0.228200000000001,7.75744294836562,399999990.803761,0.0253763609847755
0.228900000000001,7.78979094560016,399999990.761971,0.0254615604475515
0.229600000000001,7.82224001705551,399999990.720041,0.0255471340613352
0.230300000000001,7.85479065556919,399999990.67797,0.0256330828963821
0.231000000000001,7.88744335514503,399999990.635757,0.0257194080288567
0.231700000000001,7.92019861096148,399999990.593402,0.0258061105408433
0.232400000000001,7.95305691937987,399999990.550904,0.0258931915203571
0.233100000000001,7.98601877795282,399999990.508262,0.0259806520613551
0.233800000000001,8.01908468543244,399999990.465476,0.0260684932637474
0.234500000000001,8.05225514177876,399999990.422546,0.0261567162334086
